,PCA,ICA,Isomap,AE shallow,AE,AE tied,AE PCA,PT AE,LSTM AE,FFT AE,WFFT AE,Orthogonal AE,Contractive AE
DBS,0.63,0.74,0.58,0.59,0.40,0.61,0.62,0.75,0.64,0.84,0.90,0.60,0.49
CHS,15800,11500,22500,14300.00,68500.00,17100.00,16500.00,12000.00,5970.00,6414.04,7330.00,16000.00,58600.00
SS,0.62,0.56,0.65,0.61,0.73,0.63,0.61,0.60,0.52,0.46,0.35,0.58,0.66
