,PCA,ICA,Isomap
DBS,0.9,0.84,0.85
CHS,5516.33,2983.41,6570
SS,0.39,0.39,0.43
DBS-F,0.64,0.99,0.59
CHS-F,4186.97,1784.77,4670
SS-F,0.6,0.48,0.61
