,PCA,ICA,Isomap,AE shallow,AE,AE tied,AE PCA,PT AE,LSTM AE,FFT AE,WFFT AE,Orthogonal AE,Contractive AE
DBS,0.63,0.72,0.54,0.65,0.24,0.45,0.19,0.32,1.00,0.84,0.79,0.58,0.36
CHS,20637.96,8200,43500,14000.00,14100.00,34700.00,52767.79,45700.00,3844.78,12555.42,8700.00,20500.00,31881.83
SS,0.76,0.64,0.82,0.72,0.95,0.80,0.87,0.92,0.38,0.61,0.45,0.58,0.80
