0.42,0.00,0.48,0.40,0.33,0.43,0.28,0.39,0.29
0.60,0.00,0.67,0.61,0.57,0.63,0.52,0.57,0.53
0.60,0.00,0.67,0.61,0.57,0.63,0.52,0.57,0.54
0.53,0.00,0.58,0.51,0.46,0.54,0.42,0.51,0.42
0.87,0.00,0.68,0.76,0.46,0.80,0.80,0.87,0.53
10035.55,0.00,13065.45,19200.97,43867.29,17168.60,7096.32,12923.02,45397.87
0.38,0.00,0.50,0.48,0.63,0.43,0.43,0.41,0.55
1.40,0.00,1.27,1.45,4.44,1.34,1.57,1.59,4.02
3242.11,0.00,2455.62,3319.99,1869.25,5956.58,769.31,3587.79,2339.22
0.14,0.00,0.13,0.16,0.00,0.22,0.00,0.21,0.03
