0.597,0.597,0.041,0.597,0.597,0.044,0.598,0.598,0.044
0.457,0.457,0.113,0.457,0.457,0.113,0.459,0.459,0.112
0.457,0.457,0.114,0.457,0.457,0.113,0.459,0.459,0.113
0.878,0.878,0.626,0.878,0.878,0.627,0.878,0.878,0.627
0.579,0.579,1.175,0.689,0.689,1.488,1.059,1.059,2.385
18891.204,18891.204,5041.128,13787.657,13787.657,3408.528,6425.055,6425.055,1489.484
0.683,0.683,0.330,0.619,0.619,0.253,0.472,0.472,0.130
0.850,0.850,1.463,0.978,0.978,1.730,1.378,1.378,2.392
4220.086,4220.086,1696.709,3583.099,3583.099,1254.880,2303.228,2303.228,712.108
0.507,0.507,0.236,0.457,0.457,0.181,0.360,0.360,0.105
