0.34,0.39,0.42,0.38,0.37,0.33,0.38,0.00,0.39
0.62,0.65,0.66,0.64,0.63,0.61,0.65,0.00,0.65
0.62,0.65,0.66,0.64,0.63,0.62,0.65,0.00,0.65
0.40,0.44,0.47,0.43,0.43,0.39,0.44,0.00,0.45
0.80,0.74,0.68,0.75,0.75,0.81,0.74,0.00,0.76
25697.81,28341.35,29090.62,27098.91,32237.95,27794.17,33288.07,0.00,25365.50
0.41,0.43,0.48,0.42,0.42,0.40,0.43,0.00,0.41
2.98,3.38,3.52,2.97,5.46,2.82,3.22,0.00,4.17
4981.23,5226.47,3509.84,8328.04,9200.87,7937.59,8507.47,0.00,8775.81
0.09,0.10,0.10,0.11,0.08,0.08,0.13,0.00,0.10
