,PCA,ICA,Isomap
DBS,0.94,0.76,0.79
CHS,14146.53,8794.49,23966.42
SS,0.40,0.46,0.47
DBS-F,0.85,1.18,0.72
CHS-F,4220.09,2558.11,5240.25
SS-F,0.51,0.42,0.55
