0.58,0.67,0.54,0.69,0.56,0.71,0.70,0.67,0.64,0.75
0.82,0.86,0.78,0.86,0.80,0.88,0.88,0.85,0.84,0.89
0.82,0.86,0.78,0.86,0.80,0.88,0.88,0.85,0.84,0.89
0.62,0.70,0.58,0.72,0.61,0.74,0.74,0.70,0.68,0.78
0.71,0.74,0.47,0.72,0.63,0.59,0.66,0.67,0.79,0.69
19440.98,16460.91,354421.08,19817.53,24616.79,21854.26,21732.22,24961.87,21801.79,25392.89
0.50,0.47,0.60,0.47,0.52,0.55,0.50,0.48,0.46,0.54
0.84,0.82,1.58,0.72,0.86,0.88,0.70,0.72,0.77,0.70
9041.27,11841.95,12359.03,12804.31,11322.58,10464.14,17633.96,12557.48,10947.11,16016.89
0.36,0.41,0.31,0.42,0.36,0.45,0.45,0.45,0.43,0.44
