0.58,0.42,0.35,0.53,0.58,0.59,0.58,0.52,0.38
0.80,0.68,0.59,0.78,0.80,0.80,0.79,0.77,0.65
0.80,0.68,0.59,0.78,0.80,0.80,0.79,0.77,0.65
0.72,0.60,0.54,0.68,0.72,0.72,0.71,0.68,0.56
0.62,0.77,0.69,0.56,0.69,0.58,0.71,0.63,0.81
10933.07,7227.90,8310.49,8320.63,7003.36,13048.94,7764.12,7421.50,6246.76
0.58,0.48,0.51,0.55,0.50,0.59,0.52,0.53,0.44
0.48,0.56,0.65,0.56,0.58,0.53,0.53,0.51,0.58
5291.15,4087.76,2864.57,4539.24,3374.69,6896.95,4548.55,6017.56,3768.47
0.55,0.43,0.35,0.40,0.39,0.57,0.51,0.52,0.41
