,PCA,ICA,Isomap,AE shallow,AE,AE tied,AE PCA,PT AE,LSTM AE,FFT AE,WFFT AE,Orthogonal AE,Contractive AE
DBS,0.81,0.77,0.82,0.81,0.42,0.68,0.80,0.73,0.59,0.59,0.88,0.83,0.68
CHS,2110,1550,2710,"3,320.00","12,500.00","3,812.27","2,090.00","2,860.00","6,800.00","4,180.00","1,120.00","1,770.00","4,230.00"
SS,0.55,0.42,0.53,0.60,0.74,0.56,0.51,0.54,0.54,0.52,0.38,0.38,0.54
