0.987,0.970,0.970,0.286,54160.012,0.792
0.721,0.888,0.889,0.682,11311.553,0.423
0.659,0.827,0.828,1.349,11132.353,0.350
0.680,0.859,0.860,1.025,16948.681,0.408
0.652,0.819,0.820,0.944,15085.783,0.346
0.611,0.839,0.840,0.680,10292.686,0.431
0.516,0.715,0.715,0.327,11486.196,0.667
0.762,0.898,0.898,0.583,15127.461,0.508
0.613,0.798,0.798,0.701,9475.371,0.432
0.916,0.918,0.918,0.778,20075.339,0.561
0.668,0.835,0.835,0.466,41036.697,0.568
0.671,0.847,0.848,0.793,13908.512,0.425
0.672,0.850,0.850,0.964,15041.591,0.443
0.630,0.839,0.840,0.894,95018.902,0.606
0.542,0.693,0.694,0.521,2490.184,0.448
0.657,0.807,0.807,1.090,41459.924,0.567
0.705,0.869,0.870,0.934,20114.270,0.457
0.617,0.819,0.819,0.679,4734.321,0.390
0.603,0.799,0.799,0.744,10802.470,0.391
0.705,0.876,0.876,1.465,10694.027,0.478
0.722,0.870,0.870,0.732,15484.627,0.469
0.469,0.666,0.667,0.545,9636.154,0.660
0.700,0.860,0.860,0.632,31060.496,0.449
0.659,0.822,0.823,0.503,14152.670,0.517
0.625,0.770,0.770,0.789,6769.616,0.379
0.959,0.940,0.940,0.542,17258.979,0.583
0.323,0.511,0.512,0.890,1814.542,0.284
0.712,0.911,0.911,0.605,14940.371,0.570
0.724,0.889,0.889,0.581,69399.923,0.593
0.680,0.849,0.850,0.725,106639.556,0.549
0.533,0.746,0.746,1.985,33596.198,0.423
0.700,0.864,0.864,0.668,11858.215,0.482
0.856,0.777,0.777,0.769,7551.519,0.574
0.899,0.866,0.866,0.353,35633.662,0.622
0.597,0.784,0.784,0.466,44420.240,0.524
0.620,0.808,0.809,1.902,13082.204,0.389
0.614,0.784,0.784,0.810,11242.074,0.462
0.624,0.843,0.843,0.750,16669.228,0.444
0.670,0.855,0.855,0.601,65366.188,0.648
0.397,0.614,0.614,0.439,10790.412,0.530
0.625,0.825,0.826,1.008,12084.413,0.421
0.564,0.756,0.756,0.757,10782.140,0.455
0.778,0.869,0.869,0.654,18210.237,0.494
0.746,0.856,0.857,0.787,11978.894,0.415
0.632,0.812,0.813,0.967,12982.727,0.408
0.588,0.808,0.809,1.027,12633.797,0.401
0.697,0.863,0.864,0.824,11074.483,0.446
0.941,0.923,0.924,0.253,48563.629,0.790
0.615,0.796,0.796,0.385,21324.285,0.582
0.585,0.825,0.826,0.785,13936.327,0.415
0.664,0.857,0.857,0.692,14808.037,0.459
0.629,0.729,0.729,0.730,13615.686,0.524
0.613,0.807,0.807,0.611,42275.006,0.669
0.966,0.939,0.939,0.289,13449.483,0.774
0.699,0.857,0.857,1.034,11242.244,0.408
0.609,0.822,0.822,0.588,6460.309,0.467
0.686,0.872,0.872,0.756,17539.611,0.445
0.558,0.748,0.748,0.511,15554.133,0.545
0.699,0.833,0.834,1.168,8253.708,0.465
0.618,0.808,0.808,0.605,6435.835,0.542
0.697,0.866,0.866,0.911,14338.057,0.493
0.540,0.772,0.773,1.001,11848.552,0.371
0.731,0.871,0.872,1.017,9696.596,0.462
0.607,0.855,0.856,0.495,39012.236,0.655
0.756,0.892,0.893,0.612,25034.760,0.556
0.687,0.854,0.855,0.914,24121.063,0.443
0.853,0.853,0.854,0.919,14533.001,0.545
0.712,0.877,0.878,1.674,21132.486,0.462
0.546,0.807,0.808,0.692,8967.239,0.406
0.563,0.731,0.732,2.230,8819.164,0.415
0.593,0.828,0.829,1.231,18778.426,0.411
0.535,0.777,0.778,0.943,9729.163,0.326
0.590,0.767,0.767,0.911,14928.425,0.592
0.664,0.801,0.801,0.558,13863.137,0.529
0.660,0.853,0.854,1.047,13106.305,0.398
0.298,0.499,0.500,0.838,3291.200,0.622
0.629,0.789,0.789,1.180,13674.666,0.470
0.738,0.882,0.882,0.570,16676.757,0.537
0.513,0.783,0.784,0.922,11563.920,0.419
0.613,0.826,0.826,0.303,23043.749,0.711
0.945,0.904,0.904,0.538,13452.694,0.626
0.626,0.810,0.810,0.847,12057.956,0.392
0.557,0.820,0.821,0.987,19069.657,0.420
0.670,0.839,0.839,0.777,16591.427,0.501
0.558,0.830,0.830,0.406,45487.993,0.726
0.553,0.738,0.739,0.303,17302.804,0.702
0.698,0.839,0.840,1.337,12149.059,0.390
0.626,0.809,0.809,1.026,44833.141,0.497
0.648,0.792,0.793,37.413,24672.612,0.454
0.559,0.804,0.805,0.793,6747.805,0.439
0.599,0.768,0.768,0.842,4603.384,0.378
0.987,0.970,0.970,0.286,54160.012,0.792
0.691,0.860,0.860,0.659,13805.279,0.444
