0.79,0.79,0.75,0.75,0.77,0.75,0.79,0.77,0.76
0.93,0.93,0.92,0.92,0.93,0.91,0.93,0.93,0.92
0.93,0.93,0.92,0.92,0.93,0.91,0.93,0.93,0.92
0.81,0.81,0.78,0.78,0.80,0.78,0.82,0.80,0.79
0.47,0.50,0.55,0.48,0.53,0.56,0.50,0.56,0.54
35286.97,32121.22,25999.73,33144.21,31692.22,35184.28,27758.16,25958.77,31864.47
0.63,0.62,0.58,0.61,0.60,0.60,0.62,0.57,0.59
0.49,0.53,0.54,0.48,0.50,0.54,0.51,0.53,0.54
22502.90,20223.47,16156.08,28238.61,24617.39,25989.29,20028.63,20480.81,21402.19
0.54,0.54,0.50,0.57,0.56,0.55,0.55,0.54,0.50
