,PCA,,AE,,,,
ARI,0.52,0.57,0.70,0.98,,,
AMI,0.77,0.80,0.83,0.96,,,
VM,0.77,0.80,0.83,0.96,,,
FMI,0.68,0.71,0.81,0.99,,,
DBS,0.59,0.65,0.72,0.54,,,
CHS,"8,840.13",10650.95,8107.27,8102.51,,,
SS,0.53,0.53,0.53,0.62,,,
DBS,0.54,0.58,0.62,0.55,,,
CHS,"5,383.69",7550.23,6260.41,7807.64,,,
SS,0.47,0.48,0.49,0.61,,,
