,PCA,ICA,Isomap,AE shallow,AE,AE tied,AE PCA,PT AE,LSTM AE,FFT AE,WFFT AE,Orthogonal AE,Contractive AE
DBS,0.61,0.61,0.51,0.56,0.47,0.53,0.68,0.57,0.92,0.79,0.74,0.38,0.51
CHS,10278.06,5601.31,16711.08,11659.44,21788.67,9510.00,7084.10,7424.04,2680.00,3340.00,4470.00,3530.00,16100.00
SS,0.75,0.66,0.79,0.71,1,0.72,0.70,0.70,0.40,0.47,0.49,0.93,0.71
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,, ,,
