0.402,0.617,0.617,0.651,6841.004,0.451
0.397,0.617,0.617,0.530,8286.735,0.444
0.399,0.616,0.617,0.424,12232.630,0.459
0.674,0.692,0.692,0.510,9385.049,0.522
0.991,0.979,0.979,0.476,8072.205,0.627
0.395,0.610,0.610,0.472,11048.213,0.456
0.466,0.648,0.648,0.578,6852.830,0.436
0.414,0.564,0.564,0.495,9764.501,0.426
0.404,0.617,0.617,3.617,8663.700,0.115
0.982,0.960,0.960,0.575,9711.357,0.639
0.000,0.000,0.000,0.000,4010.000,0.000
0.397,0.610,0.610,0.374,10931.259,0.600
-0.001,-0.000,0.001,0.000,0.000,-0.664
0.966,0.930,0.930,0.562,7488.190,0.638
0.941,0.910,0.910,0.532,6895.656,0.572
0.401,0.617,0.617,0.507,15404.656,0.366
0.982,0.960,0.960,0.526,6066.829,0.618
0.419,0.624,0.624,0.687,10291.376,0.402
