0.556,0.777,0.777,0.649,0.596,48535.282,0.552
0.541,0.760,0.761,0.635,0.617,49876.049,0.539
0.544,0.762,0.762,0.638,0.624,51954.982,0.542
0.653,0.800,0.801,0.729,0.578,39254.723,0.563
0.541,0.754,0.755,0.636,0.696,35485.694,0.515
0.409,0.669,0.669,0.520,0.726,37488.174,0.478
0.471,0.718,0.718,0.575,0.724,31859.916,0.488
0.507,0.737,0.737,0.606,0.674,30361.740,0.512
0.530,0.758,0.759,0.627,0.626,27582.059,0.529
0.537,0.767,0.767,0.633,0.613,27308.426,0.536
0.540,0.767,0.768,0.635,0.629,25918.263,0.530
0.543,0.771,0.771,0.638,0.632,25999.521,0.533
0.544,0.771,0.771,0.639,0.625,25742.151,0.536
0.512,0.737,0.738,0.611,0.768,26658.056,0.488
0.504,0.732,0.733,0.604,0.765,27007.616,0.483
0.539,0.761,0.761,0.636,0.695,26454.232,0.508
0.543,0.763,0.764,0.639,0.690,26242.411,0.509
0.545,0.766,0.767,0.641,0.695,25213.779,0.508
0.543,0.765,0.765,0.639,0.695,25275.743,0.507
0.544,0.765,0.766,0.640,0.697,25001.491,0.505
0.551,0.774,0.775,0.644,0.648,21796.935,0.508
0.551,0.775,0.776,0.645,0.650,21301.024,0.507
0.545,0.770,0.771,0.639,0.653,21867.269,0.505
0.547,0.772,0.772,0.641,0.651,21475.748,0.506
0.549,0.772,0.772,0.642,0.650,21086.873,0.505
0.545,0.769,0.770,0.639,0.651,21112.735,0.503
0.545,0.768,0.769,0.639,0.652,20748.437,0.503
0.547,0.770,0.770,0.641,0.651,20910.840,0.505
0.548,0.773,0.774,0.642,0.650,20909.466,0.506
0.549,0.774,0.775,0.643,0.659,20575.197,0.503
0.550,0.772,0.773,0.644,0.665,19978.900,0.500
0.624,0.786,0.786,0.702,0.634,19934.316,0.515
0.626,0.787,0.788,0.704,0.631,19851.601,0.516
0.624,0.786,0.786,0.702,0.642,19497.488,0.512
0.624,0.787,0.787,0.702,0.643,19456.207,0.511
0.624,0.786,0.787,0.702,0.642,19439.535,0.511
0.627,0.787,0.788,0.705,0.639,19392.745,0.512
0.626,0.786,0.787,0.703,0.642,19332.736,0.512
0.624,0.785,0.786,0.701,0.648,19254.397,0.508
