0.595,0.817,0.818,1.313,21022.390,0.392
0.540,0.800,0.801,1.333,21436.545,0.382
0.575,0.810,0.811,1.338,21659.245,0.387
0.551,0.796,0.797,1.388,21712.689,0.388
0.570,0.804,0.805,1.517,21011.754,0.378
0.560,0.791,0.792,1.637,20783.588,0.372
0.537,0.786,0.787,2.050,19755.578,0.361
0.573,0.801,0.802,1.879,19175.309,0.360
0.548,0.793,0.794,1.843,18708.634,0.354
0.547,0.794,0.795,1.747,18457.885,0.351
0.527,0.789,0.790,1.677,18186.458,0.345
0.559,0.792,0.793,1.659,18101.112,0.344
0.552,0.785,0.786,1.821,17909.218,0.333
