0.000,0.000,0.000,0.000,36397.681,0.000
0.541,0.801,0.802,0.958,15660.968,0.373
0.632,0.793,0.794,0.936,14012.464,0.370
0.653,0.842,0.842,0.801,12801.199,0.387
0.524,0.755,0.756,2.214,24421.630,0.273
0.590,0.820,0.821,0.806,13494.479,0.352
0.631,0.834,0.835,1.068,13432.282,0.388
0.539,0.732,0.733,3.005,20613.841,0.270
0.647,0.831,0.831,0.787,15624.219,0.411
0.590,0.789,0.790,1.413,8132.189,0.317
0.543,0.769,0.770,1.130,7734.044,0.309
0.568,0.798,0.798,1.183,11278.501,0.367
0.701,0.848,0.849,0.768,16662.574,0.436
0.522,0.709,0.710,4.368,5382.281,0.140
0.345,0.629,0.630,3.460,46647.928,0.054
0.591,0.782,0.783,1.089,8964.851,0.347
0.566,0.799,0.800,1.290,12839.754,0.388
0.544,0.798,0.799,0.760,13445.237,0.358
