0.615,0.808,0.808,0.667,0.642,94136.202,0.514
0.529,0.781,0.781,0.593,0.532,136264.488,0.574
0.548,0.806,0.807,0.610,0.626,84063.918,0.524
0.701,0.868,0.869,0.744,0.558,65821.422,0.567
0.706,0.864,0.864,0.752,0.645,56297.181,0.520
0.620,0.840,0.841,0.675,0.652,56207.198,0.520
0.595,0.822,0.822,0.658,0.677,59749.328,0.518
0.624,0.848,0.848,0.680,0.626,59393.667,0.530
0.627,0.852,0.853,0.682,0.629,56867.643,0.531
0.631,0.851,0.852,0.686,0.639,52078.116,0.524
0.656,0.863,0.863,0.707,0.599,44869.541,0.539
0.624,0.844,0.844,0.678,0.576,43592.229,0.565
0.625,0.846,0.847,0.679,0.578,43772.301,0.567
0.626,0.848,0.848,0.679,0.580,43932.195,0.569
0.621,0.844,0.844,0.676,0.580,45165.765,0.555
0.621,0.844,0.845,0.675,0.582,45818.245,0.555
0.675,0.852,0.852,0.721,0.576,49249.227,0.559
0.576,0.813,0.814,0.635,0.629,42866.120,0.544
0.521,0.787,0.788,0.583,0.604,48113.436,0.539
0.482,0.752,0.752,0.550,0.638,44040.982,0.512
0.510,0.770,0.770,0.574,0.655,40761.992,0.528
0.528,0.785,0.786,0.591,0.648,40458.540,0.516
0.520,0.776,0.777,0.584,0.679,36392.241,0.508
0.513,0.769,0.770,0.581,0.688,36109.028,0.505
0.510,0.768,0.769,0.578,0.689,35865.662,0.505
0.540,0.791,0.792,0.602,0.674,35733.351,0.505
0.573,0.803,0.803,0.632,0.676,34645.131,0.497
0.569,0.792,0.793,0.626,0.651,39495.722,0.525
0.568,0.792,0.793,0.625,0.671,36799.863,0.513
0.517,0.762,0.763,0.583,0.703,36555.411,0.491
0.535,0.771,0.772,0.596,0.644,38627.466,0.511
0.532,0.769,0.770,0.593,0.638,37670.788,0.516
0.539,0.779,0.779,0.600,0.651,36470.025,0.509
0.532,0.770,0.771,0.594,0.641,36908.163,0.506
0.537,0.777,0.778,0.598,0.653,36158.448,0.502
0.523,0.767,0.768,0.585,0.645,35055.053,0.500
0.519,0.762,0.763,0.581,0.635,36029.785,0.506
0.521,0.767,0.768,0.584,0.628,36798.371,0.513
0.536,0.771,0.772,0.599,0.676,33945.712,0.493
