0.598,0.842,0.843,0.640,0.605,84721.600,0.529
0.586,0.831,0.832,0.629,0.591,82280.808,0.539
0.578,0.837,0.837,0.619,0.542,79526.758,0.574
0.557,0.810,0.810,0.600,0.619,81992.652,0.541
0.552,0.800,0.800,0.599,0.619,85814.474,0.514
0.552,0.795,0.795,0.599,0.639,73754.301,0.517
0.553,0.808,0.809,0.602,0.644,77771.470,0.515
0.554,0.807,0.808,0.601,0.653,78347.968,0.521
0.574,0.819,0.820,0.621,0.614,82048.907,0.536
0.562,0.809,0.810,0.609,0.620,81276.923,0.527
0.562,0.798,0.798,0.608,0.616,80390.295,0.515
0.543,0.790,0.791,0.590,0.614,82675.323,0.522
0.555,0.795,0.796,0.601,0.609,79206.902,0.525
0.570,0.801,0.802,0.616,0.623,81002.847,0.533
0.567,0.808,0.808,0.614,0.609,82327.216,0.536
0.574,0.811,0.812,0.620,0.632,79508.959,0.527
0.579,0.815,0.815,0.625,0.626,75676.080,0.526
0.572,0.801,0.802,0.617,0.563,82718.008,0.535
0.560,0.796,0.797,0.607,0.616,79803.911,0.525
0.551,0.788,0.789,0.602,0.608,82796.620,0.524
0.603,0.822,0.823,0.647,0.625,62205.929,0.518
0.619,0.831,0.831,0.663,0.616,59532.324,0.518
0.603,0.819,0.819,0.648,0.616,60683.969,0.513
0.602,0.817,0.818,0.646,0.630,57919.220,0.511
0.541,0.784,0.784,0.587,0.621,64710.084,0.505
0.522,0.773,0.774,0.572,0.607,66788.536,0.513
0.533,0.780,0.781,0.579,0.591,68780.191,0.518
0.550,0.792,0.792,0.597,0.604,57363.737,0.515
0.550,0.791,0.792,0.597,0.633,56555.905,0.511
0.548,0.787,0.788,0.596,0.624,55636.868,0.517
0.555,0.793,0.794,0.601,0.634,57566.834,0.515
0.553,0.793,0.794,0.598,0.637,56025.848,0.506
0.549,0.791,0.791,0.595,0.642,55669.106,0.508
0.533,0.782,0.782,0.580,0.615,52687.632,0.505
0.547,0.786,0.787,0.593,0.656,51389.133,0.501
0.551,0.787,0.788,0.597,0.638,50573.639,0.501
0.533,0.781,0.781,0.580,0.653,51016.815,0.492
0.546,0.786,0.787,0.590,0.633,49417.707,0.499
0.581,0.800,0.801,0.623,0.662,44736.709,0.494
