0.57,0.54,0.56,0.52,0.55,0.59,0.60,0.54,0.56
0.78,0.74,0.77,0.73,0.75,0.79,0.78,0.77,0.75
0.78,0.74,0.77,0.73,0.75,0.79,0.78,0.77,0.75
0.71,0.69,0.71,0.67,0.69,0.72,0.73,0.69,0.70
0.66,0.71,0.67,0.64,0.66,0.60,0.73,0.74,0.67
9147.77,8911.20,8654.70,9512.81,6972.07,12591.61,9118.26,9786.05,8038.14
0.51,0.48,0.50,0.50,0.49,0.54,0.48,0.48,0.49
0.66,0.67,0.63,0.65,0.65,0.65,0.60,0.68,0.70
5931.24,5885.04,6032.16,8218.70,5695.37,8959.50,7941.99,7271.82,5292.78
0.41,0.41,0.43,0.46,0.47,0.51,0.49,0.42,0.37
